Habitat,ISO3,Citation
seagrasses,ATG,"Creed, J., Phillips, R.C. & Van Tussenbroek, B. (2003). The Seagrasses of the Caribbean. In: World Atlas of Seagrasses. Green EP and Short FT, eds. Berkeley, California (USA): University of California Press. pp. 234-242."
seagrasses,ATG,Eastern Caribbean Natural Area Management Program (ECNAMP). (1980). Barbuda: preliminary data atlas. Survey of Conservation Priorities in the Lesser Antilles
seagrasses,ATG,"Eastern Caribbean Natural Area Management Program (ECNAMP). (1980). Virgin Gorda, British Virgin Islands: preliminary data atlas. Survey of Conservation Priorities in the Lesser Antilles"
coralreefs,ATG,"IMaRS-USF, IRD (Institut de Recherche pour le Developpement) (2005). Millennium Coral Reef Mapping Project. Validated maps. Cambridge (UK): UNEP World Conservation Monitoring Centre"
seagrasses,ATG,"IUCN & UNEP-WCMC. (2003). The World Database on Protected Areas (WDPA) [On-line]. Cambridge, UK: UNEP-WCMC. Available at: www.protectedplanet.net."
mangroves,ATG,"NASA Landsat Program, 2003, Landsat Imagery, USGS, Sioux Falls, 10/26/2003"
seagrasses,ATG,"Phillips, R.C. (2001). Seagrasses - national status report, Caribbean Region. Draft paper submitted to the UNEP-WCMC Global Seagrass Workshop, St Pete's Beach, Florida, 5-9 November, 2001"
saltmarshes,ATG,Ramsar Secretariat. Ramsar Sites Information Service. URL: https://rsis.ramsar.org/
cold-water corals,ATG,"Yesson C, Taylor ML, Tittensor DP, Davies AJ, Guinotte J, Baco A, Black J, Hall-Spencer JM, Rogers AD (2012). Global habitat suitability of cold-water Octocorals. Journal of Biogeography 39: 1278-1292. DOI: https://doi.org/10.1111/j.1365-2699.2011.02681.x"
cold-water corals,AUS,"Esper, 1794"
cold-water corals,AUS,"Adkins, J. F., Griffin, S., Kashgarian, M., Cheng, H., Druffel, E. R. M., Boyle, E. A., Edwards, R. L., & Shen, C. C. (2002). Radiocarbon dating of deep-sea corals. Radiocarbon, 44(2), 567-580. https://doi.org/10.1017/S0033822200031921"
seagrasses,AUS,"Australia. Department of the Environment, Sport, Territories, & State of the Environment Advisory Council (Australia). (1996). Australia, State of the Environment: An Independent Report Presented to the Commonwealth Minister for the Environment by the State of the Environment Advisory Council. CSIRO Publ."
seagrasses,AUS,"Blake S., Roob R., & Patterson E. (2000). Seagrass mapping of Victoria's minor inlets. Marine and Freshwater Resources Institute Report No. 28. July 2000 (Marine and Freshwater Resources Institute: Queenscliff)"
seagrasses,AUS,"Brouns, J. (1982). Seagrass Ecosystem Research Lab. [Seagrass Research Page at Florida International University]"
seagrasses,AUS,"Bulthuis, D.A. & Woelkerling, W.J. (1983). Seasonal variation in standing crop, density and leaf growth rate of the seagrass _Heterozostera tasmanica_ in Western Port and Port Phillip Bay, Victoria, Australia. 111-136."
seagrasses,AUS,"Bulthuis, D.A. (1983). Effects of insitu light reduction on density and growth of the seagrass Heterozostera tasmanica (Martens ex Aschers) den Hartog in Western Port, Victoria, Australia. 91-103."
cold-water corals,AUS,"Cairns, S. D. (1982). Stony corals (Cnidaria: Hydrozoa, Scleractinia) of Carrie Bow Cay, Belize. Smithsonian Contributions to the Marine Sciences. 272�302. DOI: https://doi.org/10.5479/si.01960768.12.272"
cold-water corals,AUS,"Cairns, S. D. (1991). A revision of the ahermatypic Scleractinia of the Galápagos and Cocos Islands. Smithsonian Contributions to Zoology."
cold-water corals,AUS,"Cairns, S. D. (1994). Scleractinia of the temperate North Pacific. Smithsonian Contributions to Zoology."
cold-water corals,AUS,"Cairns, S. D. (1995). New records of azooxanthellate stony corals (Cnidaria: Scleractinia and Stylasteridae) from the Neogene of Panama and Costa Rica. Proceedings of the Biological Society of Washington."
cold-water corals,AUS,"Cairns, S. D. (2004). The azooxanthellate Scleractinia (Coelenterata: Anthozoa) of Australia. Records of the Australian Museum, 56(3), 259-329."
cold-water corals,AUS,"Cairns, S. D., & Parker, S. A. (1992). Review of the recent Scleractinia (stony corals) of South Australia, Victoria and Tasmania. Records of the South Australian Museum monograph series."
