"COUNTRY","ISO3","Seagrasses","Sources_Seagrasses","Saltmarshes","Sources_Saltmarshes","Mangroves","Sources_Mangroves","Warm_water_corals","Sources_Warm_water_corals","Cold_water_corals","Sources_Cold_water_corals"
"Kiribati","KIR",2,"1;90;17 48",2,"90;89",2,"90;114",2,"90",2,"90"
"Saint Kitts and Nevis","KNA",2,"90;1;61",2,"90",2,"114;90;129;132",2,"90",2,"90"
"Korea, Republic Of","KOR",2,"1;90",2,"90",0,"114;115;116;102",2,"140",2,"140"
"Kuwait","KWT",2,"1;90;64",2,"90",2,"114",2,"90",2,"90"
"Lebanon","LBN",2,"1;90",2,"90",0,"115;116",2,"90",2,"90"
"Liberia","LBR",1,NA,2,"90",2,"114;90;137",2,"90",2,"90"
"Libya","LBY",2,"1;90;25",2,"90",0,"114;102",2,"90",2,"90"
"Saint Lucia","LCA",2,"90;1;21;44",2,"90",2,"114;90;129;132",2,"90",2,"90"
"Sri Lanka","LKA",2,"1;90;73",2,"90;103",2,"114;90",2,"90",2,"90"
"Lithuania","LTU",2,"1;90",2,"90",0,"115;116",0,"77;130",1,NA
"Latvia","LVA",2,"1;90",2,"90",0,"115;116",0,"77;130",1,NA
"Macao Special Administrative Region of China","MAC",1,NA,2,"90",2,"114;90;122",0,"77;130",1,NA
"Saint Martin","MAF",2,"1;90;19;61",2,"90",2,"114;90",2,"90",2,"90"
"Morocco","MAR",2,"1;90;25",2,"90",0,"125",2,"90;159;140",2,"90;159;140"
"Monaco","MCO",2,"1;90;2",2,"90",0,"114",2,"90",2,"90"
"Madagascar","MDG",2,"1;90",2,"90",2,"90;114;138",2,"90;140",2,"90;140"
"Maldives","MDV",2,"1;90",2,"90;103",2,"114;90",2,"90",2,"90"
"Mexico","MEX",2,"90;1;75",2,"90;102",2,"90;114;132",2,"90;140",2,"90;140"
"Marshall Islands","MHL",2,"1;90;17;48",2,"90",2,"90;114",2,"90",2,"90"
"Malta","MLT",2,"1;90;2",2,"90",0,"115;116",2,"90",2,"90"
"Myanmar","MMR",2,"1;90;72",2,"90",2,"90;114;133;139",2,"90",2,"90"
"Montenegro","MNE",2,"1;90;31;32;57",2,"90",0,"115;116",2,"90",2,"90"
"Northern Mariana Islands","MNP",2,"1;90;35;48",2,"90;113",2,"90;114",2,"90",2,"90"
"Mozambique","MOZ",2,"1;90;25",2,"90",2,"114;90;138",2,"90",2,"90"
"Mauritania","MRT",2,"1;90;25;28",2,"90",2,"114;90;126",2,"90;140",2,"90;140"
"Montserrat","MSR",2,"90;1;33;61",2,"90",2,"114;90;129;132",2,"90",2,"90"
"Martinique","MTQ",2,"1;90;19",2,"90",2,"114;90;129;132",2,"90",2,"90"
"Mauritius","MUS",2,"1;90",2,"90",2,"114;90",2,"90",2,"90"
"Malaysia","MYS",2,"1;90;71",2,"90",2,"114;90;139",2,"90",2,"90"
"Mayotte","MYT",2,"1;90;19",2,"90",2,"90;114",2,"90",2,"90"
"Namibia","NAM",1,NA,2,"90;106",0,"126",1,NA,1,NA
"New Caledonia","NCL",2,"1;90;17;19;48",2,"90",2,"114;90",2,"90",2,"90"
"Norfolk Island","NFK",0,"49",2,"90;89",2,"114;90",2,"",1,NA
"Nigeria","NGA",2,"1;90",2,"90;93",2,"114;90;137",2,"90",2,"90"
