"region","scientific_name","common_name","redlist_status","habitat","url"
"East Asian Seas","Acropora glauca","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20glauca"
"Pacific","Acropora glauca","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20glauca"
"South Asian Seas","Acropora globiceps","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20globiceps"
"North-West Pacific","Acropora globiceps","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20globiceps"
"East Asian Seas","Acropora globiceps","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20globiceps"
"Pacific","Acropora globiceps","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20globiceps"
"Pacific","Acropora gomezi","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20gomezi"
"East Asian Seas","Acropora gomezi","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20gomezi"
"East Asian Seas","Acropora grandis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20grandis"
"South Asian Seas","Acropora grandis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20grandis"
"Eastern Africa","Acropora grandis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20grandis"
"Pacific","Acropora grandis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20grandis"
"North-West Pacific","Acropora grandis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20grandis"
"Red Sea and Gulf of Aden","Acropora grandis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20grandis"
"East Asian Seas","Acropora granulosa","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20granulosa"
"South Asian Seas","Acropora granulosa","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20granulosa"
"North-West Pacific","Acropora granulosa","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20granulosa"
"Red Sea and Gulf of Aden","Acropora granulosa","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20granulosa"
"Pacific","Acropora granulosa","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20granulosa"
"Eastern Africa","Acropora granulosa","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20granulosa"
"Red Sea and Gulf of Aden","Acropora haimei","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20haimei"
"ROPME Area","Acropora haimei","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20haimei"
"Eastern Africa","Acropora haimei","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20haimei"
"East Asian Seas","Acropora halmaherae","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20halmaherae"
"Pacific","Acropora halmaherae","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20halmaherae"
"Eastern Africa","Acropora hemprichii","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20hemprichii"
"South Asian Seas","Acropora hemprichii","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20hemprichii"
"ROPME Area","Acropora hemprichii","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20hemprichii"
"East Asian Seas","Acropora hemprichii","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20hemprichii"
"Red Sea and Gulf of Aden","Acropora hemprichii","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20hemprichii"
"Pacific","Acropora hoeksemai","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20hoeksemai"
"North-West Pacific","Acropora hoeksemai","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20hoeksemai"
"East Asian Seas","Acropora hoeksemai","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20hoeksemai"
"ROPME Area","Acropora horrida","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20horrida"
"Eastern Africa","Acropora horrida","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20horrida"
"South Asian Seas","Acropora horrida","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20horrida"
"East Asian Seas","Acropora horrida","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20horrida"
"North-West Pacific","Acropora horrida","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20horrida"
"Pacific","Acropora horrida","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20horrida"
"Red Sea and Gulf of Aden","Acropora horrida","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20horrida"
"Eastern Africa","Acropora humilis","Finger Coral","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20humilis"
"North-West Pacific","Acropora humilis","Finger Coral","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20humilis"
"Red Sea and Gulf of Aden","Acropora humilis","Finger Coral","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20humilis"
"South Asian Seas","Acropora humilis","Finger Coral","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20humilis"
"East Asian Seas","Acropora humilis","Finger Coral","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20humilis"
"Pacific","Acropora humilis","Finger Coral","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20humilis"
"Red Sea and Gulf of Aden","Acropora hyacinthus","Brush Coral","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20hyacinthus"
"Pacific","Acropora hyacinthus","Brush Coral","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20hyacinthus"
"East Asian Seas","Acropora hyacinthus","Brush Coral","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20hyacinthus"
"North-West Pacific","Acropora hyacinthus","Brush Coral","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20hyacinthus"
"Eastern Africa","Acropora hyacinthus","Brush Coral","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20hyacinthus"
"South Asian Seas","Acropora hyacinthus","Brush Coral","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20hyacinthus"
"South-East Pacific","Acropora hyacinthus","Brush Coral","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20hyacinthus"
"Pacific","Acropora indonesia","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20indonesia"
"East Asian Seas","Acropora indonesia","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20indonesia"
"North-West Pacific","Acropora inermis","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20inermis"
"Eastern Africa","Acropora inermis","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20inermis"
"East Asian Seas","Acropora inermis","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20inermis"
"Pacific","Acropora inermis","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20inermis"
"North-West Pacific","Acropora insignis","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20insignis"
"Pacific","Acropora insignis","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20insignis"
"East Asian Seas","Acropora insignis","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20insignis"
"North-West Pacific","Acropora irregularis","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20irregularis"
"South Asian Seas","Acropora irregularis","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20irregularis"
"Eastern Africa","Acropora irregularis","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20irregularis"
"Pacific","Acropora irregularis","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20irregularis"
"East Asian Seas","Acropora irregularis","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20irregularis"
"Pacific","Acropora jacquelineae","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20jacquelineae"
"East Asian Seas","Acropora jacquelineae","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20jacquelineae"
"North-West Pacific","Acropora japonica","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20japonica"
"ROPME Area","Acropora khayranensis","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20khayranensis"
"Pacific","Acropora kimbeensis","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20kimbeensis"
"East Asian Seas","Acropora kimbeensis","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20kimbeensis"
