"region","scientific_name","common_name","redlist_status","habitat","url"
"Pacific","Acropora desalwii","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20desalwii"
"East Asian Seas","Acropora desalwii","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20desalwii"
"Pacific","Acropora digitifera","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20digitifera"
"South Asian Seas","Acropora digitifera","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20digitifera"
"ROPME Area","Acropora digitifera","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20digitifera"
"Red Sea and Gulf of Aden","Acropora digitifera","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20digitifera"
"East Asian Seas","Acropora digitifera","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20digitifera"
"North-West Pacific","Acropora digitifera","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20digitifera"
"Eastern Africa","Acropora digitifera","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20digitifera"
"Eastern Africa","Acropora divaricata","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20divaricata"
"Pacific","Acropora divaricata","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20divaricata"
"North-West Pacific","Acropora divaricata","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20divaricata"
"ROPME Area","Acropora divaricata","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20divaricata"
"East Asian Seas","Acropora divaricata","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20divaricata"
"South Asian Seas","Acropora divaricata","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20divaricata"
"Red Sea and Gulf of Aden","Acropora divaricata","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20divaricata"
"Pacific","Acropora donei","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20donei"
"North-West Pacific","Acropora donei","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20donei"
"East Asian Seas","Acropora donei","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20donei"
"South Asian Seas","Acropora donei","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20donei"
"Red Sea and Gulf of Aden","Acropora donei","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20donei"
"Eastern Africa","Acropora downingi","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20downingi"
"Red Sea and Gulf of Aden","Acropora downingi","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20downingi"
"ROPME Area","Acropora downingi","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20downingi"
"East Asian Seas","Acropora echinata","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20echinata"
"North-West Pacific","Acropora echinata","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20echinata"
"South Asian Seas","Acropora echinata","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20echinata"
"Pacific","Acropora echinata","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20echinata"
"Eastern Africa","Acropora echinata","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Acropora%20echinata"
